,index,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Industry,Sector,Revenue,Lower Salary,Upper Salary,Avg Salary(K),Job Location,Age
130,150,Senior Data Scientist,$112K-$182K (Glassdoor est.),4.0,"Novetta
4.0","Herndon, VA",501 - 1000 ,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),112,182,147.0,VA,9
131,152,Data Scientist,$64K-$106K (Glassdoor est.),3.2,"First Command Financial Services, Inc.
3.2","Fort Worth, TX",1001 - 5000 ,Brokerage Services,Finance,$100 to $500 million (USD),64,106,85.0,TX,63
132,153,Associate Scientist,$51K-$112K (Glassdoor est.),2.9,"Pharmavite
2.9","Valencia, CA",1001 - 5000 ,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),51,112,81.5,CA,50
133,154,"Scientist 2, QC Viral Vector",$113K-$223K (Glassdoor est.),3.8,"BioMarin Pharmaceutical
3.8","Novato, CA",1001 - 5000 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),113,223,168.0,CA,24
134,156,Machine Learning Engineer,$72K-$129K (Glassdoor est.),4.3,"Stratagem Group
4.3","Aurora, CO",1 - 50 ,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,72,129,100.5,CO,14
135,157,Data Scientist/ML Engineer,$71K-$123K (Glassdoor est.),3.4,"PA Consulting
3.4","New York, NY",1001 - 5000 ,Consulting,Business Services,$100 to $500 million (USD),71,123,97.0,NY,78
136,158,Data Scientist,$64K-$106K (Glassdoor est.),4.1,"ManTech
4.1","Chantilly, VA",5001 - 10000 ,Research & Development,Business Services,$1 to $2 billion (USD),64,106,85.0,VA,53
137,159,Customer Data Scientist,$118K-$189K (Glassdoor est.),4.3,"h2o.ai
4.3","Mountain View, CA",201 - 500 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,118,189,153.5,CA,10
138,161,Data Engineer,Employer Provided Salary:$120K-$145K,5.0,"Gridiron IT
5.0","Tampa, FL",51 - 200 ,IT Services,Information Technology,Unknown / Non-Applicable,120,145,132.5,FL,4
139,162,Data Engineer,$80K-$120K (Glassdoor est.),4.3,"Productive Edge
4.3","Chicago, IL",51 - 200 ,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),80,120,100.0,IL,13
140,164,Sr. Data Scientist,$80K-$130K (Glassdoor est.),3.7,"Evolve Vacation Rental
3.7","Denver, CO",201 - 500 ,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,80,130,105.0,CO,10
141,166,Data Engineer 4 - Contract,$59K-$115K (Glassdoor est.),4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",10000+ ,Religious Organizations,Non-Profit,Unknown / Non-Applicable,59,115,87.0,UT,-1
142,167,Data Analyst - Asset Management,$71K-$136K (Glassdoor est.),4.3,"Maximus Real Estate Partners
4.3","San Francisco, CA",51 - 200 ,Real Estate,Real Estate,Unknown / Non-Applicable,71,136,103.5,CA,8
143,168,Senior Research Scientist - Embedded System Development for DevOps,$81K-$167K (Glassdoor est.),2.6,"Software Engineering Institute
2.6","Pittsburgh, PA",501 - 1000 ,Colleges & Universities,Education,Unknown / Non-Applicable,81,167,124.0,PA,37
144,169,Data Scientist - Bioinformatics,$49K-$85K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA",1001 - 5000 ,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),49,85,67.0,WA,56
145,170,Data Engineer,$60K-$114K (Glassdoor est.),3.9,"AVANADE
3.9","Washington, DC",10000+ ,IT Services,Information Technology,$2 to $5 billion (USD),60,114,87.0,DC,21
146,171,Customer Data Scientist/Sales Engineer,$71K-$204K (Glassdoor est.),4.3,"h2o.ai
4.3","Chicago, IL",201 - 500 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,71,204,137.5,IL,10
147,172,Lead Data Scientist,$75K-$125K (Glassdoor est.),3.8,"PatientPoint
3.8","Cincinnati, OH",201 - 500 ,Advertising & Marketing,Business Services,$100 to $500 million (USD),75,125,100.0,OH,34
148,174,MongoDB Data Engineer II,$77K-$136K (Glassdoor est.),3.8,"BlueCross BlueShield of Tennessee
3.8","Chattanooga, TN",5001 - 10000 ,Insurance Carriers,Insurance,$5 to $10 billion (USD),77,136,106.5,TN,76
149,175,Senior Data Scientist Statistics,$74K-$123K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA",1001 - 5000 ,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),74,123,98.5,WA,56
150,177,Senior Data Analyst,$44K-$78K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL",501 - 1000 ,Security Services,Business Services,$100 to $500 million (USD),44,78,61.0,FL,11
151,178,Senior Spark Engineer (Data Science),$65K-$148K (Glassdoor est.),4.4,"KSM Consulting
4.4","Indianapolis, IN",51 - 200 ,Consulting,Business Services,Unknown / Non-Applicable,65,148,106.5,IN,13
152,179,Data Engineer,$59K-$110K (Glassdoor est.),3.9,"Cogo Labs
3.9","Cambridge, MA",51 - 200 ,Internet,Information Technology,Unknown / Non-Applicable,59,110,84.5,MA,16
153,180,BI & Platform Analytics Manager,$85K-$134K (Glassdoor est.),3.4,"Church & Dwight
3.4","Ewing, NJ",1001 - 5000 ,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),85,134,109.5,NJ,175
154,181,Lead Data Scientist,$124K-$204K (Glassdoor est.),3.6,"MassMutual
3.6","Boston, MA",5001 - 10000 ,Insurance Carriers,Insurance,$10+ billion (USD),124,204,164.0,MA,170
155,182,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K (Glassdoor est.),3.9,"Genentech
3.9","South San Francisco, CA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),131,207,169.0,CA,45
156,183,Senior Data Scientist,$110K-$174K (Glassdoor est.),3.8,"Juniper Networks
3.8","Cupertino, CA",5001 - 10000 ,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),110,174,142.0,CA,25
157,185,Pricipal Scientist Molecular and cellular biologist,$52K-$101K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Boston, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),52,101,76.5,MA,240
158,187,"Data Scientist (Actuary, FSA or ASA)",$81K-$133K (Glassdoor est.),3.8,"Legal & General America
3.8","Frederick, MD",501 - 1000 ,Insurance Carriers,Insurance,$500 million to $1 billion (USD),81,133,107.0,MD,40
159,188,Staff Data Scientist,$132K-$211K (Glassdoor est.),3.5,"Western Digital
3.5","San Jose, CA",10000+ ,Computer Hardware & Software,Information Technology,$10+ billion (USD),132,211,171.5,CA,51
160,190,Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),3.9,"Health IQ
3.9","Dallas, TX",201 - 500 ,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,73,119,96.0,TX,8
161,191,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),4.2,"Nuna
4.2","San Francisco, CA",51 - 200 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,110,175,142.5,CA,11
162,192,Data Engineer 5 - Contract (Remote),$74K-$140K (Glassdoor est.),4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",10000+ ,Religious Organizations,Non-Profit,Unknown / Non-Applicable,74,140,107.0,UT,-1
163,193,Senior Scientist - Neuroscience,$100K-$190K (Glassdoor est.),3.5,"Sunovion
3.5","Marlborough, MA",1001 - 5000 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),100,190,145.0,MA,11
164,194,Senior Data Analyst,$43K-$80K (Glassdoor est.),2.9,"National Student Clearinghouse
2.9","Herndon, VA",201 - 500 ,Colleges & Universities,Education,$25 to $50 million (USD),43,80,61.5,VA,28
165,197,Medical Lab Scientist,$17-$24 Per Hour(Glassdoor est.),3.6,"Tower Health
3.6","West Reading, PA",5001 - 10000 ,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,35,49,42.0,PA,4
166,198,"Risk and Analytics IT, Data Scientist",$91K-$149K (Glassdoor est.),2.7,"State of Wisconsin Investment Board
2.7","Madison, WI",51 - 200 ,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),91,149,120.0,WI,70
167,199,"Scientist, Analytical Development",$42K-$82K (Glassdoor est.),4.4,"Rubius Therapeutics
4.4","Cambridge, MA",201 - 500 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),42,82,62.0,MA,8
168,200,Senior Data Scientist,$116K-$185K (Glassdoor est.),4.0,"Autodesk
4.0","San Francisco, CA",5001 - 10000 ,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),116,185,150.5,CA,39
169,201,Analytics Manager,$59K-$116K (Glassdoor est.),4.3,"OneMagnify
4.3","Dearborn, MI",201 - 500 ,Advertising & Marketing,Business Services,Unknown / Non-Applicable,59,116,87.5,MI,54
170,202,Data Engineer,$48K-$95K (Glassdoor est.),4.2,"IZEA
4.2","Winter Park, FL",51 - 200 ,Advertising & Marketing,Business Services,$25 to $50 million (USD),48,95,71.5,FL,15
171,203,Digital Marketing & ECommerce Data Analyst,$31K-$72K (Glassdoor est.),3.6,"Vionic Group
3.6","San Rafael, CA",51 - 200 ,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),31,72,51.5,CA,15
172,204,Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","San Diego, CA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),105,198,151.5,CA,240
173,205,Senior Data Analyst,$55K-$100K (Glassdoor est.),2.8,"Dodge Data & Analytics
2.8","Hamilton, NJ",201 - 500 ,IT Services,Information Technology,Unknown / Non-Applicable,55,100,77.5,NJ,7
174,206,Principal Scientist - Immunologist,$98K-$182K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Boston, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),98,182,140.0,MA,240
175,207,Senior Data Scientist,$73K-$124K (Glassdoor est.),3.3,"Plymouth Rock Assurance
3.3","Woodbridge, NJ",1001 - 5000 ,Insurance Carriers,Insurance,$10 to $25 million (USD),73,124,98.5,NJ,39
176,208,Principal Data Scientist with over 10 years experience,Employer Provided Salary:$200K-$250K,-1.0,CA-One Tech Cloud,"San Francisco, CA",51 - 200 ,IT Services,Information Technology,$5 to $10 million (USD),200,250,225.0,CA,4
177,209,MED TECH/LAB SCIENTIST - LABORATORY,$21-$34 Per Hour(Glassdoor est.),3.6,"Beebe Healthcare
3.6","Lewes, DE",1001 - 5000 ,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),43,70,56.5,DE,86
178,210,"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Boston, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),117,206,161.5,MA,240
179,211,Sr. Data Scientist II,$111K-$183K (Glassdoor est.),3.4,"Argo Group US
3.4","New York, NY",1001 - 5000 ,Insurance Carriers,Insurance,$1 to $2 billion (USD),111,183,147.0,NY,73
180,212,Excel / VBA / SQL Data Analyst,$44K-$78K (Glassdoor est.),4.1,"Associated Electric Cooperative
4.1","Springfield, MO",501 - 1000 ,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),44,78,61.0,MO,60
181,213,Machine Learning Research Scientist,$81K-$159K (Glassdoor est.),2.6,"Software Engineering Institute
2.6","Pittsburgh, PA",501 - 1000 ,Colleges & Universities,Education,Unknown / Non-Applicable,81,159,120.0,PA,37
182,215,"VP, Data Science",$83K-$166K (Glassdoor est.),3.2,"PennyMac
3.2","Phoenix, AZ",1001 - 5000 ,Lending,Finance,$500 million to $1 billion (USD),83,166,124.5,AZ,13
183,216,Senior Data Scientist,$114K-$182K (Glassdoor est.),3.9,"Zest AI
3.9","Burbank, CA",51 - 200 ,Financial Analytics & Research,Finance,$50 to $100 million (USD),114,182,148.0,CA,12
184,217,Radar Data Analyst,$42K-$76K (Glassdoor est.),4.7,"DECISIVE ANALYTICS Corporation
4.7","Huntsville, AL",51 - 200 ,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD),42,76,59.0,AL,25
185,221,PL Actuarial-Lead Data Scientist,$114K-$179K (Glassdoor est.),3.7,"The Hanover Insurance Group
3.7","Worcester, MA",5001 - 10000 ,Insurance Carriers,Insurance,$5 to $10 billion (USD),114,179,146.5,MA,169
186,223,PV Scientist,$60K-$123K (Glassdoor est.),2.9,"Karyopharm Therapeutics Inc.
2.9","Newton, MA",201 - 500 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,60,123,91.5,MA,-1
187,224,Senior Data & Machine Learning Scientist,$100K-$166K (Glassdoor est.),3.0,"Tempus Labs
3.0","Chicago, IL",501 - 1000 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,100,166,133.0,IL,6
188,225,Principal Data Scientist (Computational Chemistry),$108K-$173K (Glassdoor est.),4.7,"Recursion Pharmaceuticals
4.7","Salt Lake City, UT",51 - 200 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),108,173,140.5,UT,8
189,226,Data Engineer,$48K-$93K (Glassdoor est.),3.7,"P2 Energy Solutions
3.7","Lafayette, LA",501 - 1000 ,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,48,93,70.5,LA,-1
190,228,"Principal Scientist, Chemistry & Immunology",$54K-$115K (Glassdoor est.),3.3,"Rochester Regional Health
3.3","Rochester, NY",10000+ ,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),54,115,84.5,NY,7
191,229,Software Engineer - Data Visualization,$60K-$127K (Glassdoor est.),4.0,"ClearEdge
4.0","Annapolis Junction, MD",51 - 200 ,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),60,127,93.5,MD,19
192,230,"Scientist/Senior Scientist, Autoimmune",$90K-$179K (Glassdoor est.),4.4,"Rubius Therapeutics
4.4","Cambridge, MA",201 - 500 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),90,179,134.5,MA,8
193,233,Staff Machine Learning Engineer,$138K-$224K (Glassdoor est.),3.9,"Tapjoy
3.9","San Francisco, CA",201 - 500 ,Internet,Information Technology,$10 to $25 million (USD),138,224,181.0,CA,14
194,234,"Principal Scientist, Hematology",$54K-$115K (Glassdoor est.),3.3,"Rochester Regional Health
3.3","Rochester, NY",10000+ ,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),54,115,84.5,NY,7
195,235,Lead Data Engineer,$190K-$220K(Employer est.),4.1,"Credit Sesame
4.1","Mountain View, CA",51 - 200 ,Internet,Information Technology,$50 to $100 million (USD),190,220,205.0,CA,11
196,239,Marketing Data Analyst,$35K-$62K (Glassdoor est.),3.6,"San Manuel Casino
3.6","Highland, CA",1001 - 5000 ,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),35,62,48.5,CA,35
197,240,Medical Laboratory Scientist,$18-$25 Per Hour(Glassdoor est.),4.0,"Texas Health Huguley Hospital
4.0","Burleson, TX",1001 - 5000 ,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),37,52,44.5,TX,44
198,242,R&D Specialist/ Food Scientist,$39K-$66K (Glassdoor est.),2.4,"Teasdale Latin Foods
2.4","Hoopeston, IL",501 - 1000 ,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),39,66,52.5,IL,-1
199,243,Senior Research Scientist-Machine Learning,$81K-$167K (Glassdoor est.),2.6,"Software Engineering Institute
2.6","Pittsburgh, PA",501 - 1000 ,Colleges & Universities,Education,Unknown / Non-Applicable,81,167,124.0,PA,37
200,245,Analytics Manager - Data Mart,$42K-$86K (Glassdoor est.),3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA",501 - 1000 ,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),42,86,64.0,CA,25
201,246,Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K (Glassdoor est.),3.0,"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN",10000+ ,Gas Stations,Retail,$10+ billion (USD),69,127,98.0,TN,63
202,247,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34 Per Hour(Glassdoor est.),3.6,"Beebe Healthcare
3.6","Millville, DE",1001 - 5000 ,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),43,70,56.5,DE,86
203,248,Food Scientist - Developer,$40K-$68K (Glassdoor est.),3.3,"Palermo's Pizza
3.3","Milwaukee, WI",501 - 1000 ,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,40,68,54.0,WI,57
204,250,Staff Scientist-Downstream Process Development,$49K-$113K (Glassdoor est.),2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD",201 - 500 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),49,113,81.0,MD,60
205,251,Sr. Data Engineer,$75K-$140K (Glassdoor est.),3.4,"Echo Global Logistics
3.4","Chicago, IL",1001 - 5000 ,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),75,140,107.5,IL,16
206,253,Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),3.8,"Truckstop.com
3.8","Chicago, IL",501 - 1000 ,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,86,139,112.5,IL,26
207,254,Data Scientist,$66K-$112K (Glassdoor est.),3.7,"Lockheed Martin
3.7","Herndon, VA",10000+ ,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),66,112,89.0,VA,26
208,255,Senior Research Statistician- Data Scientist,$76K-$125K (Glassdoor est.),4.8,"Acuity Insurance
4.8","Sheboygan, WI",1001 - 5000 ,Insurance Carriers,Insurance,$1 to $2 billion (USD),76,125,100.5,WI,96
209,256,"Business Data Analyst, SQL",$44K-$86K (Glassdoor est.),3.8,"Fareportal
3.8","New York, NY",1001 - 5000 ,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),44,86,65.0,NY,19
210,257,Medical Technologist / Clinical Laboratory Scientist,$15-$25 Per Hour(Glassdoor est.),3.4,"Veterans Affairs, Veterans Health Administration
3.4","New Orleans, LA",10000+ ,Federal Agencies,Government,Unknown / Non-Applicable,31,52,41.5,LA,91
211,258,Data Scientist,$53K-$92K (Glassdoor est.),4.3,"Credera
4.3","Dallas, TX",201 - 500 ,Consulting,Business Services,Unknown / Non-Applicable,53,92,72.5,TX,22
212,259,Senior Data Analyst,$44K-$78K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL",501 - 1000 ,Security Services,Business Services,$100 to $500 million (USD),44,78,61.0,FL,11
213,260,BI & Platform Analytics Manager,$85K-$134K (Glassdoor est.),3.4,"Church & Dwight
3.4","Ewing, NJ",1001 - 5000 ,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),85,134,109.5,NJ,175
214,262,Data Engineer,$59K-$110K (Glassdoor est.),3.9,"Cogo Labs
3.9","Cambridge, MA",51 - 200 ,Internet,Information Technology,Unknown / Non-Applicable,59,110,84.5,MA,16
215,263,Data Scientist,$64K-$111K (Glassdoor est.),3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL",51 - 200 ,Advertising & Marketing,Business Services,$10 to $25 million (USD),64,111,87.5,IL,29
216,264,Data Analyst,$65K-$120K (Glassdoor est.),3.1,"NCSOFT
3.1","San Mateo, CA",1001 - 5000 ,Video Games,Media,$10+ billion (USD),65,120,92.5,CA,24
217,265,Associate Data Scientist/Computer Scientist,$60K-$103K (Glassdoor est.),3.2,"MITRE
3.2","McLean, VA",5001 - 10000 ,Federal Agencies,Government,$1 to $2 billion (USD),60,103,81.5,VA,63
218,266,Business Intelligence Analyst / Developer,$53K-$105K (Glassdoor est.),4.3,"Dayton Freight Lines, Inc.
4.3","Dayton, OH",1001 - 5000 ,Trucking,Transportation & Logistics,Unknown / Non-Applicable,53,105,79.0,OH,40
219,267,Lead Data Scientist,$124K-$204K (Glassdoor est.),3.6,"MassMutual
3.6","Boston, MA",5001 - 10000 ,Insurance Carriers,Insurance,$10+ billion (USD),124,204,164.0,MA,170
220,268,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K (Glassdoor est.),3.9,"Genentech
3.9","South San Francisco, CA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),131,207,169.0,CA,45
221,269,Senior Data Scientist,$110K-$174K (Glassdoor est.),3.8,"Juniper Networks
3.8","Cupertino, CA",5001 - 10000 ,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),110,174,142.0,CA,25
222,270,Data Analyst,$33K-$62K (Glassdoor est.),2.8,"Community Action Partnership of San Luis Obispo
2.8","Parlier, CA",501 - 1000 ,Social Assistance,Non-Profit,$50 to $100 million (USD),33,62,47.5,CA,-1
223,273,Pricipal Scientist Molecular and cellular biologist,$52K-$101K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Boston, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),52,101,76.5,MA,240
224,274,Data Analyst,$48K-$90K (Glassdoor est.),3.4,"TrueAccord
3.4","San Francisco, CA",51 - 200 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,48,90,69.0,CA,8
225,275,Data Analyst,$34K-$64K (Glassdoor est.),4.0,"DRB Systems
4.0","Meridian, ID",201 - 500 ,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),34,64,49.0,ID,37
226,276,Staff Data Scientist,$132K-$211K (Glassdoor est.),3.5,"Western Digital
3.5","San Jose, CA",10000+ ,Computer Hardware & Software,Information Technology,$10+ billion (USD),132,211,171.5,CA,51
227,277,"Data Scientist (Actuary, FSA or ASA)",$81K-$133K (Glassdoor est.),3.8,"Legal & General America
3.8","Frederick, MD",501 - 1000 ,Insurance Carriers,Insurance,$500 million to $1 billion (USD),81,133,107.0,MD,40
228,278,System and Data Analyst,$42K-$76K (Glassdoor est.),3.7,"Corcentric
3.7","Cherry Hill, NJ",201 - 500 ,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,42,76,59.0,NJ,25
229,281,Data Scientist,$66K-$111K (Glassdoor est.),3.5,"U.Group
3.5","Indianapolis, IN",201 - 500 ,IT Services,Information Technology,$25 to $50 million (USD),66,111,88.5,IN,2
230,282,Data Engineer 5 - Contract (Remote),$74K-$140K (Glassdoor est.),4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",10000+ ,Religious Organizations,Non-Profit,Unknown / Non-Applicable,74,140,107.0,UT,-1
231,284,Digital Health Data Scientist,$63K-$110K (Glassdoor est.),4.0,"Pfizer
4.0","Cambridge, MA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),63,110,86.5,MA,172
232,285,Data Scientist,$63K-$105K (Glassdoor est.),4.3,"SMC 3
4.3","Louisville, KY",51 - 200 ,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),63,105,84.0,KY,86
233,288,Data & Analytics Consultant (NYC),$91K-$138K (Glassdoor est.),4.7,"Systems Evolution Inc.
4.7","New York, NY",201 - 500 ,Consulting,Business Services,$50 to $100 million (USD),91,138,114.5,NY,29
234,289,Senior Scientist - Neuroscience,$100K-$190K (Glassdoor est.),3.5,"Sunovion
3.5","Marlborough, MA",1001 - 5000 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),100,190,145.0,MA,11
235,290,Data Engineer,$62K-$114K (Glassdoor est.),4.4,"Eventbrite
4.4","Nashville, TN",1001 - 5000 ,Internet,Information Technology,$100 to $500 million (USD),62,114,88.0,TN,15
236,291,Big Data Engineer - Chicago - Future Opportunity,$71K-$129K (Glassdoor est.),4.1,"Centro
4.1","Chicago, IL",501 - 1000 ,Internet,Information Technology,$100 to $500 million (USD),71,129,100.0,IL,20
237,292,Senior Data Analyst,$43K-$80K (Glassdoor est.),2.9,"National Student Clearinghouse
2.9","Herndon, VA",201 - 500 ,Colleges & Universities,Education,$25 to $50 million (USD),43,80,61.5,VA,28
238,293,Data Scientist,$74K-$119K (Glassdoor est.),2.5,"comScore
2.5","Portland, OR",1001 - 5000 ,Advertising & Marketing,Business Services,$1 to $2 billion (USD),74,119,96.5,OR,22
239,295,Survey Data Analyst,$55K-$97K (Glassdoor est.),4.2,"SullivanCotter
4.2","Minneapolis, MN",201 - 500 ,Consulting,Business Services,Unknown / Non-Applicable,55,97,76.0,MN,29
240,296,Data Scientist,$15K-$16K(Employer est.),3.9,"NPD
3.9","Port Washington, NY",1001 - 5000 ,Research & Development,Business Services,$100 to $500 million (USD),15,16,15.5,NY,55
241,299,Data Scientist,$61K-$106K (Glassdoor est.),4.3,"Bakery Agency
4.3","Austin, TX",1 - 50 ,Advertising & Marketing,Business Services,Unknown / Non-Applicable,61,106,83.5,TX,11
242,300,"Risk and Analytics IT, Data Scientist",$91K-$149K (Glassdoor est.),2.7,"State of Wisconsin Investment Board
2.7","Madison, WI",51 - 200 ,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),91,149,120.0,WI,70
243,302,Data Scientist,$127K-$199K (Glassdoor est.),3.9,"Genentech
3.9","South San Francisco, CA",10000+ ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),127,199,163.0,CA,45
244,305,Lead Health Data Analyst - Front End,$74K-$126K (Glassdoor est.),3.4,"Blue Cross & Blue Shield of Rhode Island
3.4","Providence, RI",501 - 1000 ,Insurance Carriers,Insurance,Unknown / Non-Applicable,74,126,100.0,RI,82
245,306,Research Scientist,$33K-$72K (Glassdoor est.),3.8,"Boys Town
3.8","Omaha, NE",1001 - 5000 ,Social Assistance,Non-Profit,Unknown / Non-Applicable,33,72,52.5,NE,104
246,307,Medical Lab Scientist,$17-$24 Per Hour(Glassdoor est.),3.6,"Tower Health
3.6","West Reading, PA",5001 - 10000 ,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,35,49,42.0,PA,4
247,308,Junior Data Analyst,$37K-$63K (Glassdoor est.),3.3,"The HSC Health Care System
3.3","Washington, DC",501 - 1000 ,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,37,63,50.0,DC,138
248,309,SQL Data Engineer,$67K-$119K (Glassdoor est.),3.4,"Pro-Sphere Tek
3.4","Austin, TX",201 - 500 ,Consulting,Business Services,$50 to $100 million (USD),67,119,93.0,TX,15
249,310,Data Scientist,$72K-$117K (Glassdoor est.),3.0,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH",1001 - 5000 ,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),72,117,94.5,OH,134
250,311,Senior Data Scientist,$116K-$185K (Glassdoor est.),4.0,"Autodesk
4.0","San Francisco, CA",5001 - 10000 ,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),116,185,150.5,CA,39
251,312,Data Scientist,$78K-$126K (Glassdoor est.),3.7,"Genworth
3.7","Raleigh, NC",1001 - 5000 ,Insurance Carriers,Insurance,$5 to $10 billion (USD),78,126,102.0,NC,17
252,313,"Scientist, Analytical Development",$42K-$82K (Glassdoor est.),4.4,"Rubius Therapeutics
4.4","Cambridge, MA",201 - 500 ,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),42,82,62.0,MA,8
